from,to,ship,travel_time
9,9,1,0
9,9,2,0
9,9,3,0
9,9,4,0
9,9,5,0
9,9,6,0
9,10,1,2
9,10,2,2
9,10,3,2
9,10,4,2
9,10,5,2
9,10,6,2
9,11,1,2
9,11,2,2
9,11,3,2
9,11,4,2
9,11,5,2
9,11,6,2
9,12,1,4
9,12,2,4
9,12,3,4
9,12,4,4
9,12,5,4
9,12,6,4
9,13,1,51
9,13,2,51
9,13,3,51
9,13,4,51
9,13,5,51
9,13,6,51
10,9,1,3
10,9,2,3
10,9,3,3
10,9,4,3
10,9,5,3
10,9,6,3
10,10,1,0
10,10,2,0
10,10,3,0
10,10,4,0
10,10,5,0
10,10,6,0
10,11,1,5
10,11,2,5
10,11,3,5
10,11,4,5
10,11,5,5
10,11,6,5
10,12,1,9
10,12,2,9
10,12,3,9
10,12,4,9
10,12,5,9
10,12,6,9
10,13,1,72
10,13,2,72
10,13,3,72
10,13,4,72
10,13,5,72
10,13,6,72
11,9,1,2
11,9,2,2
11,9,3,2
11,9,4,2
11,9,5,2
11,9,6,2
11,10,1,3
11,10,2,3
11,10,3,3
11,10,4,3
11,10,5,3
11,10,6,3
11,11,1,0
11,11,2,0
11,11,3,0
11,11,4,0
11,11,5,0
11,11,6,0
11,12,1,2
11,12,2,2
11,12,3,2
11,12,4,2
11,12,5,2
11,12,6,2
11,13,1,30
11,13,2,30
11,13,3,30
11,13,4,30
11,13,5,30
11,13,6,30
12,9,1,4
12,9,2,4
12,9,3,4
12,9,4,4
12,9,5,4
12,9,6,4
12,10,1,5
12,10,2,5
12,10,3,5
12,10,4,5
12,10,5,5
12,10,6,5
12,11,1,2
12,11,2,2
12,11,3,2
12,11,4,2
12,11,5,2
12,11,6,2
12,12,1,0
12,12,2,0
12,12,3,0
12,12,4,0
12,12,5,0
12,12,6,0
12,13,1,30
12,13,2,30
12,13,3,30
12,13,4,30
12,13,5,30
12,13,6,30
0,9,1,0
0,9,2,0
0,9,3,0
0,9,4,0
0,9,5,0
0,9,6,0
0,10,1,0
0,10,2,0
0,10,3,0
0,10,4,0
0,10,5,0
0,10,6,0
0,11,1,0
0,11,2,0
0,11,3,0
0,11,4,0
0,11,5,0
0,11,6,0
0,12,1,0
0,12,2,0
0,12,3,0
0,12,4,0
0,12,5,0
0,12,6,0
0,13,1,0
0,13,2,0
0,13,3,0
0,13,4,0
0,13,5,0
0,13,6,0
