from,to,ship,travel_time
11,11,1,0
11,11,2,0
11,11,3,0
11,11,4,0
11,11,5,0
11,11,6,0
11,12,1,3
11,12,2,3
11,12,3,3
11,12,4,3
11,12,5,3
11,12,6,3
11,13,1,11
11,13,2,11
11,13,3,11
11,13,4,11
11,13,5,11
11,13,6,11
11,14,1,10
11,14,2,10
11,14,3,10
11,14,4,10
11,14,5,10
11,14,6,10
11,15,1,12
11,15,2,12
11,15,3,12
11,15,4,12
11,15,5,12
11,15,6,12
11,16,1,14
11,16,2,14
11,16,3,14
11,16,4,14
11,16,5,14
11,16,6,14
11,17,1,43
11,17,2,43
11,17,3,43
11,17,4,43
11,17,5,43
11,17,6,43
12,11,1,3
12,11,2,3
12,11,3,3
12,11,4,3
12,11,5,3
12,11,6,3
12,12,1,0
12,12,2,0
12,12,3,0
12,12,4,0
12,12,5,0
12,12,6,0
12,13,1,9
12,13,2,9
12,13,3,9
12,13,4,9
12,13,5,9
12,13,6,9
12,14,1,8
12,14,2,8
12,14,3,8
12,14,4,8
12,14,5,8
12,14,6,8
12,15,1,10
12,15,2,10
12,15,3,10
12,15,4,10
12,15,5,10
12,15,6,10
12,16,1,11
12,16,2,11
12,16,3,11
12,16,4,11
12,16,5,11
12,16,6,11
12,17,1,38
12,17,2,38
12,17,3,38
12,17,4,38
12,17,5,38
12,17,6,38
13,11,1,10
13,11,2,10
13,11,3,10
13,11,4,10
13,11,5,10
13,11,6,10
13,12,1,9
13,12,2,9
13,12,3,9
13,12,4,9
13,12,5,9
13,12,6,9
13,13,1,0
13,13,2,0
13,13,3,0
13,13,4,0
13,13,5,0
13,13,6,0
13,14,1,2
13,14,2,2
13,14,3,2
13,14,4,2
13,14,5,2
13,14,6,2
13,15,1,2
13,15,2,2
13,15,3,2
13,15,4,2
13,15,5,2
13,15,6,2
13,16,1,3
13,16,2,3
13,16,3,3
13,16,4,3
13,16,5,3
13,16,6,3
13,17,1,38
13,17,2,38
13,17,3,38
13,17,4,38
13,17,5,38
13,17,6,38
14,11,1,9
14,11,2,9
14,11,3,9
14,11,4,9
14,11,5,9
14,11,6,9
14,12,1,7
14,12,2,7
14,12,3,7
14,12,4,7
14,12,5,7
14,12,6,7
14,13,1,1
14,13,2,1
14,13,3,1
14,13,4,1
14,13,5,1
14,13,6,1
14,14,1,0
14,14,2,0
14,14,3,0
14,14,4,0
14,14,5,0
14,14,6,0
14,15,1,3
14,15,2,3
14,15,3,3
14,15,4,3
14,15,5,3
14,15,6,3
14,16,1,4
14,16,2,4
14,16,3,4
14,16,4,4
14,16,5,4
14,16,6,4
14,17,1,36
14,17,2,36
14,17,3,36
14,17,4,36
14,17,5,36
14,17,6,36
15,11,1,12
15,11,2,12
15,11,3,12
15,11,4,12
15,11,5,12
15,11,6,12
15,12,1,11
15,12,2,11
15,12,3,11
15,12,4,11
15,12,5,11
15,12,6,11
15,13,1,2
15,13,2,2
15,13,3,2
15,13,4,2
15,13,5,2
15,13,6,2
15,14,1,3
15,14,2,3
15,14,3,3
15,14,4,3
15,14,5,3
15,14,6,3
15,15,1,0
15,15,2,0
15,15,3,0
15,15,4,0
15,15,5,0
15,15,6,0
15,16,1,2
15,16,2,2
15,16,3,2
15,16,4,2
15,16,5,2
15,16,6,2
15,17,1,31
15,17,2,31
15,17,3,31
15,17,4,31
15,17,5,31
15,17,6,31
16,11,1,23
16,11,2,23
16,11,3,23
16,11,4,23
16,11,5,23
16,11,6,23
16,12,1,20
16,12,2,20
16,12,3,20
16,12,4,20
16,12,5,20
16,12,6,20
16,13,1,6
16,13,2,6
16,13,3,6
16,13,4,6
16,13,5,6
16,13,6,6
16,14,1,8
16,14,2,8
16,14,3,8
16,14,4,8
16,14,5,8
16,14,6,8
16,15,1,3
16,15,2,3
16,15,3,3
16,15,4,3
16,15,5,3
16,15,6,3
16,16,1,0
16,16,2,0
16,16,3,0
16,16,4,0
16,16,5,0
16,16,6,0
16,17,1,50
16,17,2,50
16,17,3,50
16,17,4,50
16,17,5,50
16,17,6,50
0,11,1,0
0,11,2,0
0,11,3,0
0,11,4,0
0,11,5,0
0,11,6,0
0,12,1,0
0,12,2,0
0,12,3,0
0,12,4,0
0,12,5,0
0,12,6,0
0,13,1,0
0,13,2,0
0,13,3,0
0,13,4,0
0,13,5,0
0,13,6,0
0,14,1,0
0,14,2,0
0,14,3,0
0,14,4,0
0,14,5,0
0,14,6,0
0,15,1,0
0,15,2,0
0,15,3,0
0,15,4,0
0,15,5,0
0,15,6,0
0,16,1,0
0,16,2,0
0,16,3,0
0,16,4,0
0,16,5,0
0,16,6,0
0,17,1,0
0,17,2,0
0,17,3,0
0,17,4,0
0,17,5,0
0,17,6,0
