from,to,ship,travel_time
1,11,0,27
1,12,0,27
1,13,0,28
1,14,0,26
1,15,0,40
1,16,0,41
2,11,0,40
2,12,0,38
2,13,0,17
2,14,0,9
2,15,0,18
2,16,0,46
3,11,0,63
3,12,0,41
3,13,0,6
3,14,0,8
3,15,0,20
3,16,0,4
4,11,0,56
4,12,0,40
4,13,0,5
4,14,0,32
4,15,0,21
4,16,0,26
5,11,0,38
5,12,0,29
5,13,0,32
5,14,0,33
5,15,0,39
5,16,0,37
6,11,0,79
6,12,0,54
6,13,0,19
6,14,0,39
6,15,0,34
6,16,0,43
7,11,0,68
7,12,0,53
7,13,0,35
7,14,0,27
7,15,0,30
7,16,0,8
8,11,0,9
8,12,0,14
8,13,0,44
8,14,0,32
8,15,0,53
8,16,0,70
9,11,0,42
9,12,0,36
9,13,0,20
9,14,0,30
9,15,0,26
9,16,0,45
10,11,0,23
10,12,0,13
10,13,0,32
10,14,0,31
10,15,0,39
10,16,0,60
